Titulo;Autor;Interprete;Tom;Categoria;Categoria rotulo;Link da letra;Link da cifra;Link de referencia;Observacao;Ativo
IMACULADA;Missionário Shalom;Missionário Shalom;;MARIANA;Mariana;https://www.cifraclub.com.br/missionario-shalom/imaculada/;https://www.cifraclub.com.br/missionario-shalom/imaculada/;https://www.youtube.com/results?search_query=Mission%C3%A1rio+Shalom+IMACULADA;Mariana / Imaculada Conceição;Sim
IMACULADA MARIA DE DEUS;Repertório católico;Músicas Católicas;;MARIANA;Mariana;https://www.cifraclub.com.br/catolicas/imaculada-maria-de-deus/;https://www.cifraclub.com.br/catolicas/imaculada-maria-de-deus/;https://www.youtube.com/results?search_query=M%C3%BAsicas+Cat%C3%B3licas+IMACULADA+MARIA+DE+DEUS;Mariana / Imaculada Conceição;Sim
IMACULADA, MARIA DO POVO;Frei Fabreti, OFM;Frei Fabreti, OFM;;FINAL;Final;;;https://www.youtube.com/results?search_query=Frei+Fabreti%2C+OFM+IMACULADA%2C+MARIA+DO+POVO;Canto final / mariano / Assunção de Nossa Senhora;Sim
JESUS CRISTO ESTÁ REALMENTE;CNBB / Música Litúrgica;CNBB / Música Litúrgica;;FINAL;Final;https://www.cifraclub.com.br/cnbb/jesus-cristo-esta-realmente/;https://www.cifraclub.com.br/cnbb/jesus-cristo-esta-realmente/;https://www.youtube.com/watch?v=lHrHznnYcdM;Louvor final / Corpus Christi / adoração;Sim
JESUS CRISTO MORREU POR TODOS NÓS;Pe. José Weber, SVD;Pe. José Weber, SVD;;COMUNHAO;Comunhão;;;;Comunhão / Exaltação da Santa Cruz / 2Cor 5,15;Sim
JESUS CRISTO, SENDO DEUS;Reginaldo Veloso;Reginaldo Veloso;;COMUNHAO;Comunhão;;;;Comunhão / Exaltação da Santa Cruz / Fl 2,6-11;Sim
JESUS SACRAMENTADO, NOSSO SOL EUCARÍSTICO;Comunidade Católica Shalom;Comunidade Católica Shalom;;ADORACAO;Adoração;https://www.cifraclub.com.br/comunidade-catolica-shalom/jesus-sacramentado-nosso-sol-eucaristico/;https://www.cifraclub.com.br/comunidade-catolica-shalom/jesus-sacramentado-nosso-sol-eucaristico/;https://www.youtube.com/results?search_query=Comunidade+Cat%C3%B3lica+Shalom+JESUS+SACRAMENTADO%2C+NOSSO+SOL+EUCAR%C3%8DSTICO;Adoração eucarística;Sim
MAJESTOSA EUCARISTIA;Anjos de Resgate;Anjos de Resgate;;ADORACAO;Adoração;https://www.cifraclub.com.br/anjos-de-resgate/majestosa-eucaristia/;https://www.cifraclub.com.br/anjos-de-resgate/majestosa-eucaristia/;https://www.youtube.com/results?search_query=Anjos+de+Resgate+MAJESTOSA+EUCARISTIA;Adoração eucarística;Sim
MARIA DA MINHA INFÂNCIA;Pe. Zezinho, SCJ;Padre Zezinho;;MARIANA;Mariana;https://www.cifraclub.com.br/padre-zezinho/maria-da-minha-infancia/;https://www.cifraclub.com.br/padre-zezinho/maria-da-minha-infancia/;https://www.youtube.com/results?search_query=Padre+Zezinho+MARIA+DA+MINHA+INF%C3%82NCIA;Mariana / devoção filial;Sim
MARIA DE DEUS, SENHORA DA PAZ;Repertório católico;Músicas Católicas;;MARIANA;Mariana;https://www.cifraclub.com.br/catolicas/maria-de-deus-senhora-da-paz/;https://www.cifraclub.com.br/catolicas/maria-de-deus-senhora-da-paz/;https://www.youtube.com/results?search_query=M%C3%BAsicas+Cat%C3%B3licas+MARIA+DE+DEUS%2C+SENHORA+DA+PAZ;Mariana / Rainha da Paz;Sim
MARIA DE NAZARÉ;Pe. Zezinho, SCJ;Padre Zezinho;;MARIANA;Mariana;https://www.cifraclub.com.br/padre-zezinho/maria-de-nazare/;https://www.cifraclub.com.br/padre-zezinho/maria-de-nazare/;https://www.youtube.com/results?search_query=Padre+Zezinho+MARIA+DE+NAZAR%C3%89;Mariana / vida e missão de Maria;Sim
MARIA E O ANJO;Anjos de Resgate;Anjos de Resgate;;MARIANA;Mariana;https://www.cifraclub.com.br/anjos-de-resgate/maria-e-o-anjo/;https://www.cifraclub.com.br/anjos-de-resgate/maria-e-o-anjo/;https://www.youtube.com/results?search_query=Anjos+de+Resgate+MARIA+E+O+ANJO;Mariana / Anunciação;Sim
MARIA FOI ASSUNTA AO CÉU;"Gradual Romano; música: Frei Wanderson Luiz, O.Carm.";Frei Wanderson Luiz, O.Carm.;;OFERTORIO;Apresentação das Oferendas;;;;Apresentação das oferendas / Assunção de Nossa Senhora;Sim
MARIA PASSA À FRENTE;Frei Gilson;Frei Gilson;;MARIANA;Mariana;https://www.cifraclub.com.br/frei-gilson/maria-passa-a-frente/;https://www.cifraclub.com.br/frei-gilson/maria-passa-a-frente/;https://www.youtube.com/results?search_query=Frei+Gilson+MARIA+PASSA+%C3%80+FRENTE;Mariana / intercessão;Sim
MARIA, MINHA MÃE;Comunidade Católica Shalom;Comunidade Católica Shalom;;MARIANA;Mariana;https://www.cifraclub.com.br/comunidade-catolica-shalom/maria-minha-mae/;https://www.cifraclub.com.br/comunidade-catolica-shalom/maria-minha-mae/;https://www.youtube.com/results?search_query=Comunidade+Cat%C3%B3lica+Shalom+MARIA%2C+MINHA+M%C3%83E;Mariana / devoção e entrega;Sim
MARIA, MULHER FORTE;Repertório católico;Músicas Católicas;;MARIANA;Mariana;https://www.cifraclub.com.br/catolicas/maria-mulher-forte/;https://www.cifraclub.com.br/catolicas/maria-mulher-forte/;https://www.youtube.com/results?search_query=M%C3%BAsicas+Cat%C3%B3licas+MARIA%2C+MULHER+FORTE;Mariana / discipulado de Maria;Sim
MARIA, MÃE DA IGREJA;Repertório católico;Músicas Católicas;;MARIANA;Mariana;https://www.cifraclub.com.br/catolicas/maria-mae-da-igreja/;https://www.cifraclub.com.br/catolicas/maria-mae-da-igreja/;https://www.youtube.com/results?search_query=M%C3%BAsicas+Cat%C3%B3licas+MARIA%2C+M%C3%83E+DA+IGREJA;Mariana / Maria, Mãe da Igreja;Sim
MARIA, MÃE DA MINHA VIDA;Eliana Ribeiro;Eliana Ribeiro;;MARIANA;Mariana;https://www.cifraclub.com.br/eliana-ribeiro/maria-mae-da-minha-vida/;https://www.cifraclub.com.br/eliana-ribeiro/maria-mae-da-minha-vida/;https://www.youtube.com/results?search_query=Eliana+Ribeiro+MARIA%2C+M%C3%83E+DA+MINHA+VIDA;Mariana / entrega e devoção;Sim
MARIA, MÃE DOS CAMINHANTES;Pe. Zezinho, SCJ;Padre Zezinho;;MARIANA;Mariana;https://www.cifraclub.com.br/padre-zezinho/maria-mae-dos-caminhantes/;https://www.cifraclub.com.br/padre-zezinho/maria-mae-dos-caminhantes/;https://www.youtube.com/results?search_query=Padre+Zezinho+MARIA%2C+M%C3%83E+DOS+CAMINHANTES;Mariana / peregrinação e caminhada;Sim
MARIA, PORTA DO CÉU;Vida Reluz;Vida Reluz;;MARIANA;Mariana;https://www.cifraclub.com.br/vida-reluz/maria-porta-do-ceu/;https://www.cifraclub.com.br/vida-reluz/maria-porta-do-ceu/;https://www.youtube.com/results?search_query=Vida+Reluz+MARIA%2C+PORTA+DO+C%C3%89U;Mariana / intercessão;Sim
MARIA, TU QUE VELAS POR MIM;Repertório católico;Músicas Católicas;;MARIANA;Mariana;https://www.cifraclub.com.br/catolicas/maria-tu-que-velas-por-mim/;https://www.cifraclub.com.br/catolicas/maria-tu-que-velas-por-mim/;https://www.youtube.com/results?search_query=M%C3%BAsicas+Cat%C3%B3licas+MARIA%2C+TU+QUE+VELAS+POR+MIM;Mariana / intercessão;Sim
MEU TUDO;Comunidade Católica Shalom;Comunidade Católica Shalom;;ADORACAO;Adoração;https://www.cifraclub.com.br/comunidade-catolica-shalom/meu-tudo/;https://www.cifraclub.com.br/comunidade-catolica-shalom/meu-tudo/;https://www.youtube.com/results?search_query=Comunidade+Cat%C3%B3lica+Shalom+MEU+TUDO;Adoração / entrega a Cristo;Sim
MINH'ALMA DÁ GLÓRIAS AO SENHOR;Repertório litúrgico católico;Músicas Católicas;;MARIANA;Mariana;https://www.cifraclub.com.br/catolicas/minh-alma-da-glorias-ao-senhor/;https://www.cifraclub.com.br/catolicas/minh-alma-da-glorias-ao-senhor/;https://www.youtube.com/results?search_query=M%C3%BAsicas+Cat%C3%B3licas+MINH%27ALMA+D%C3%81+GL%C3%93RIAS+AO+SENHOR;Mariana / Magnificat;Sim
MINHA ESSÊNCIA;Thiago Brado;Thiago Brado;;POS_COMUNHAO;Pós-Comunhão / Ação de Graças;https://www.cifraclub.com.br/thiago-brado/minha-essencia/;https://www.cifraclub.com.br/thiago-brado/minha-essencia/;https://www.youtube.com/results?search_query=Thiago+Brado+MINHA+ESS%C3%8ANCIA;Pós-comunhão / entrega e oração;Sim
MISERICÓRDIA, Ó SENHOR;"Graduale Romanum; Liturgia das Horas; música: Frei Wanderson Luiz Freitas; Pe. J. Gelineau";CNBB / Música Litúrgica;;OFERTORIO;Apresentação das Oferendas;https://www.cifraclub.com.br/cnbb/misericordia-o-senhor/;https://www.cifraclub.com.br/cnbb/misericordia-o-senhor/;;Apresentação das oferendas / Fiéis Defuntos;Sim
MÃE DA CONFIANÇA;Comunidade Católica Shalom;Comunidade Católica Shalom;;MARIANA;Mariana;https://www.cifraclub.com.br/comunidade-catolica-shalom/mae-da-confianca/;https://www.cifraclub.com.br/comunidade-catolica-shalom/mae-da-confianca/;https://www.youtube.com/results?search_query=Comunidade+Cat%C3%B3lica+Shalom+M%C3%83E+DA+CONFIAN%C3%87A;Mariana / confiança e intercessão;Sim
MÃE DA FÉ;Anjos de Resgate;Anjos de Resgate;;MARIANA;Mariana;https://www.cifraclub.com.br/anjos-de-resgate/mae-da-fe/;https://www.cifraclub.com.br/anjos-de-resgate/mae-da-fe/;https://www.youtube.com/results?search_query=Anjos+de+Resgate+M%C3%83E+DA+F%C3%89;Mariana / fé e intercessão;Sim
MÃE DA PAZ;Missionário Shalom;Missionário Shalom;;MARIANA;Mariana;https://www.cifraclub.com.br/missionario-shalom/mae-da-paz/;https://www.cifraclub.com.br/missionario-shalom/mae-da-paz/;https://www.youtube.com/results?search_query=Mission%C3%A1rio+Shalom+M%C3%83E+DA+PAZ;Mariana / Rainha da Paz;Sim
MÃE DE TODAS AS MÃES;Eliana Ribeiro;Eliana Ribeiro;;MARIANA;Mariana;https://www.cifraclub.com.br/eliana-ribeiro/mae-de-todas-as-maes/;https://www.cifraclub.com.br/eliana-ribeiro/mae-de-todas-as-maes/;https://www.youtube.com/results?search_query=Eliana+Ribeiro+M%C3%83E+DE+TODAS+AS+M%C3%83ES;Mariana / maternidade e intercessão;Sim
MÃE DO CÉU;Frei Gilson;Frei Gilson;;MARIANA;Mariana;https://www.cifraclub.com.br/frei-gilson/mae-do-ceu/;https://www.cifraclub.com.br/frei-gilson/mae-do-ceu/;https://www.youtube.com/results?search_query=Frei+Gilson+M%C3%83E+DO+C%C3%89U;Mariana / devoção a Nossa Senhora;Sim
MÃE DO CÉU MORENA;Pe. Zezinho, SCJ;Padre Zezinho;;MARIANA;Mariana;https://www.cifraclub.com.br/padre-zezinho/mae-do-ceu-morena/;https://www.cifraclub.com.br/padre-zezinho/mae-do-ceu-morena/;https://www.youtube.com/results?search_query=Padre+Zezinho+M%C3%83E+DO+C%C3%89U+MORENA;Mariana / Nossa Senhora Aparecida;Sim
MÃE DO MEU SENHOR;Frei Gilson;Frei Gilson;;MARIANA;Mariana;https://www.cifraclub.com.br/frei-gilson/mae-do-meu-senhor/;https://www.cifraclub.com.br/frei-gilson/mae-do-meu-senhor/;https://www.youtube.com/results?search_query=Frei+Gilson+M%C3%83E+DO+MEU+SENHOR;Mariana / maternidade divina;Sim
MÃE DO NOVO HOMEM;Pe. Zezinho, SCJ;Padre Zezinho;;MARIANA;Mariana;https://www.cifraclub.com.br/padre-zezinho/mae-do-novo-homem/;https://www.cifraclub.com.br/padre-zezinho/mae-do-novo-homem/;https://www.youtube.com/results?search_query=Padre+Zezinho+M%C3%83E+DO+NOVO+HOMEM;Mariana / Maria, Mãe de Cristo e da Igreja;Sim
MÃE, EU QUERO TE AMAR;Frei Gilson;Frei Gilson;;MARIANA;Mariana;https://www.cifraclub.com.br/frei-gilson/mae-eu-quero-te-amar/;https://www.cifraclub.com.br/frei-gilson/mae-eu-quero-te-amar/;https://www.youtube.com/results?search_query=Frei+Gilson+M%C3%83E%2C+EU+QUERO+TE+AMAR;Mariana / devoção filial;Sim
MÃEZINHA DO CÉU;Repertório católico tradicional;Padre Marcelo Rossi;;MARIANA;Mariana;https://www.cifraclub.com.br/padre-marcelo-rossi/maezinha-do-ceu/;https://www.cifraclub.com.br/padre-marcelo-rossi/maezinha-do-ceu/;https://www.youtube.com/results?search_query=Padre+Marcelo+Rossi+M%C3%83EZINHA+DO+C%C3%89U;Mariana / devoção filial;Sim
NA PÁSCOA DA NOVA ALIANÇA;"Frei José Moacyr Cadenassi, OFMCap; música: Ir. Míria T. Kolling";Ir. Míria T. Kolling;;COMUNHAO;Comunhão;https://www.cifraclub.com.br/irma-miria-t-kolling/na-pascoa-da-nova-alianca/;https://www.cifraclub.com.br/irma-miria-t-kolling/na-pascoa-da-nova-alianca/;;Comunhão / Exaltação da Santa Cruz;Sim
NA ÁGUA E NO ESPÍRITO;Léo Mantovani;Léo Mantovani;B;ATO_PENITENCIAL;Ato Penitencial;;;;Ato penitencial / Batismo;Sim
NEM A VIDA, NEM A MORTE;Ir. Míria T. Kolling;Ir. Míria T. Kolling;;OFERTORIO;Apresentação das Oferendas;https://www.cifraclub.com.br/irma-miria-t-kolling/nem-a-vida-nem-a-morte/;https://www.cifraclub.com.br/irma-miria-t-kolling/nem-a-vida-nem-a-morte/;;Apresentação das oferendas / Fiéis Defuntos;Sim
NO SENHOR SE ENCONTRA A MISERICÓRDIA;"Missal Romano; Liturgia das Horas; música: Pe. Sílvio Milanez";Pe. Sílvio Milanez;;OFERTORIO;Apresentação das Oferendas;;;;Apresentação das oferendas / Missa pelos Fiéis Defuntos;Sim
NOITE EXCELSA;;;;ENTRADA;Entrada;;;;Entrada / Natal - Missa da Noite;Sim
NOSSA GLÓRIA É A CRUZ;Pe. José Weber, SVD;Pe. José Weber, SVD;;OFERTORIO;Apresentação das Oferendas;;;;Apresentação das oferendas / Exaltação da Santa Cruz;Sim
NOSSA SENHORA;"Roberto Carlos; Erasmo Carlos";Adriana Arydes;;MARIANA;Mariana;https://www.cifraclub.com.br/adriana/nossa-senhora/;https://www.cifraclub.com.br/adriana/nossa-senhora/;https://www.youtube.com/results?search_query=Adriana+Arydes+NOSSA+SENHORA;Mariana / devoção a Nossa Senhora;Sim
NOVA MISSÃO;Dirceu Vicente De Paula;Músicas Católicas;;FINAL;Final;https://www.cifraclub.com.br/catolicas/nova-missao/;https://www.cifraclub.com.br/catolicas/nova-missao/;https://www.youtube.com/results?search_query=M%C3%BAsicas+Cat%C3%B3licas+NOVA+MISS%C3%83O;Canto final / missão, evangelização e testemunho;Sim
NOVA UNÇÃO;Adriana Arydes;Adriana Arydes;;FINAL;Final;https://www.cifraclub.com.br/adriana/nova-uncao/;https://www.cifraclub.com.br/adriana/nova-uncao/;https://www.youtube.com/results?search_query=Adriana+Arydes+NOVA+UN%C3%87%C3%83O;"Canto final / envio e ação do Espírito; repertório classificado como FINAL";Sim
NOVO AMANHECER;Comunidade Católica Shalom;Comunidade Católica Shalom;;ENTRADA;Entrada;https://www.cifraclub.com.br/comunidade-catolica-shalom/novo-amanhecer/;https://www.cifraclub.com.br/comunidade-catolica-shalom/novo-amanhecer/;;Entrada / louvor;Sim
NÃO EXISTE AMOR SEM ENTREGA;"Fr. Gotzon Aulestia; versão: Ir. Míria T. Kolling";Ir. Míria T. Kolling;;COMUNHAO;Comunhão;https://www.cifraclub.com.br/irma-miria-t-kolling/nao-existe-amor-sem-entrega/;https://www.cifraclub.com.br/irma-miria-t-kolling/nao-existe-amor-sem-entrega/;https://www.youtube.com/watch?v=b9AkVgCfo8g;Comunhão / entrega e amor eucarístico;Sim
NÓS SOMOS MUITOS;Pe. José Weber, SVD;Pe. José Weber, SVD;;COMUNHAO;Comunhão;;;https://www.youtube.com/watch?v=pNYJ9ELiW3c;Comunhão / unidade eclesial na Eucaristia;Sim
NÓS TE DAMOS MUITAS GRAÇAS;"Antônio Prado; Frei Joel Postma, OFM";CNBB / Música Litúrgica;;COMUNHAO;Comunhão;https://www.cifraclub.com.br/cnbb/nos-te-damos-muitas-gracas/;https://www.cifraclub.com.br/cnbb/nos-te-damos-muitas-gracas/;https://www.youtube.com/watch?v=rCL8p7FzQ74;Comunhão / ação de graças / Hinário Litúrgico da CNBB;Sim
O AMOR DE DEUS COBRIU;"Ir. Míria T. Kolling; Pe. Lúcio Floro";CNBB / Música Litúrgica;;FINAL;Final;https://www.cifraclub.com.br/cnbb/o-amor-de-deus-cobriu/;https://www.cifraclub.com.br/cnbb/o-amor-de-deus-cobriu/;https://www.youtube.com/watch?v=BxvL5wsACYg;Canto final / Pentecostes;Sim
O ESPÍRITO DE DEUS, ALELUIA;José Raimundo;CNBB / Música Litúrgica;;ESPIRITO_SANTO;Espírito Santo;https://www.cifraclub.com.br/cnbb/o-espirito-de-deus-aleluia/;https://www.cifraclub.com.br/cnbb/o-espirito-de-deus-aleluia/;https://www.youtube.com/results?search_query=CNBB+%2F+M%C3%BAsica+Lit%C3%BArgica+O+ESP%C3%8DRITO+DE+DEUS%2C+ALELUIA;Pentecostes / Espírito de Deus;Sim
O ESPÍRITO DO SENHOR;"Frei José Moacyr Cadenassi, OFMCap; música: Frei José Luiz Prim, OFM";Frei José Luiz Prim, OFM;;FINAL;Final;;;https://www.youtube.com/results?search_query=Frei+Jos%C3%A9+Luiz+Prim%2C+OFM+O+ESP%C3%8DRITO+DO+SENHOR;Canto final / missão no Espírito / Assunção de Nossa Senhora;Sim
O ESPÍRITO DO SENHOR REPOUSA SOBRE MIM;Pe. José Weber, SVD;Pe. José Weber, SVD;;FINAL;Final;;;https://www.youtube.com/results?search_query=Pe.+Jos%C3%A9+Weber%2C+SVD+O+ESP%C3%8DRITO+DO+SENHOR+REPOUSA+SOBRE+MIM;Canto final / Pentecostes / missão;Sim
O PAI ENVIOU SEU FILHO QUERIDO;Pe. José Freitas Campos;Pe. José Freitas Campos;;COMUNHAO;Comunhão;;;https://www.youtube.com/watch?v=pFQejP-b8EI;Comunhão / Cristo enviado pelo Pai;Sim
O PÃO DA VIDA, A COMUNHÃO;Pe. José Weber, SVD;Pe. José Weber, SVD;;COMUNHAO;Comunhão;;;https://www.youtube.com/watch?v=jZVqI9Fo0jI;Comunhão / Pão da Vida / Hinário Litúrgico da CNBB;Sim
O PÃO DE DEUS É O PÃO DA VIDA;Pe. José Weber, SVD;Pe. José Weber, SVD;;COMUNHAO;Comunhão;;;https://www.youtube.com/watch?v=8PdnGv0JC_c;Comunhão / Pão da Vida / Hinário Litúrgico da CNBB;Sim
O SANTO NOME DO SENHOR;"Gradual Triplex; Liturgia das Horas; música: Frei Wanderson Luiz, O.Carm.";Frei Wanderson Luiz, O.Carm.;;OFERTORIO;Apresentação das Oferendas;;;;Apresentação das oferendas / Exaltação da Santa Cruz;Sim
O SENHOR PODEROSO EM AMOR;Reginaldo Veloso;Reginaldo Veloso;;COMUNHAO;Comunhão;;;https://www.youtube.com/watch?v=Q-QSiLs3-GY;Comunhão / convite ao banquete eucarístico;Sim
O SENHOR SUBIU AO CÉU, ALELUIA!;Reginaldo Veloso;Reginaldo Veloso;;COMUNHAO;Comunhão;;;;Comunhão / Ascensão do Senhor / Salmo 68(67);Sim
OBRA NOVA;Vida Reluz;Vida Reluz;;FINAL;Final;https://www.cifraclub.com.br/vida-reluz/obra-nova/;https://www.cifraclub.com.br/vida-reluz/obra-nova/;https://www.youtube.com/results?search_query=Vida+Reluz+OBRA+NOVA;"Canto final / missão e vida nova; repertório classificado como FINAL";Sim
OS CÉUS SE ABRIRAM;;;;ENTRADA;Entrada;;;;Entrada / Batismo do Senhor;Sim
OS OLHOS JAMAIS CONTEMPLARAM;Ir. Míria T. Kolling;Ir. Míria T. Kolling;;OFERTORIO;Apresentação das Oferendas;https://www.cifraclub.com.br/irma-miria-t-kolling/os-olhos-jamais-contemplaram/;https://www.cifraclub.com.br/irma-miria-t-kolling/os-olhos-jamais-contemplaram/;https://www.youtube.com/watch?v=QlhKjDlxwRw;Apresentação das oferendas / Fiéis Defuntos;Sim
PELAS ESTRADAS DA VIDA;;;;ENTRADA;Entrada;;;;Entrada / caminhada;Sim
PELO SINAL DA SANTA CRUZ;"Gradual Romano e Liturgia das Horas; música: Gílson Celerino";Gílson Celerino;;COMUNHAO;Comunhão;;;;Comunhão / Exaltação da Santa Cruz;Sim
PERANTE OS VOSSOS ANJOS;"Graduale Simplex; Liturgia das Horas; música: Angelo La Serra";Angelo La Serra;;OFERTORIO;Apresentação das Oferendas;;;;Apresentação das oferendas / Fiéis Defuntos;Sim
PERFEITO É QUEM TE CRIOU;Walmir Alencar;Vida Reluz;;MARIANA;Mariana;https://www.cifraclub.com.br/vida-reluz/perfeito-e-quem-te-criou/;https://www.cifraclub.com.br/vida-reluz/perfeito-e-quem-te-criou/;https://www.youtube.com/results?search_query=Vida+Reluz+PERFEITO+%C3%89+QUEM+TE+CRIOU;Mariana / Imaculada Conceição / louvor a Deus pela Virgem Maria;Sim
PIEDADE DE NÓS;Comunidade Católica Shalom;Comunidade Católica Shalom;;ATO_PENITENCIAL;Ato Penitencial;https://www.cifraclub.com.br/comunidade-catolica-shalom/piedade-de-nos/;https://www.cifraclub.com.br/comunidade-catolica-shalom/piedade-de-nos/;;Ato penitencial / perdão;Sim
PORQUE SOIS FILHOS;Frei Wanderson Luiz Freitas, O.Carm.;Frei Wanderson Luiz Freitas, O.Carm.;;COMUNHAO;Comunhão;;;https://www.youtube.com/watch?v=c10OZx3bMrQ;Comunhão / Santíssima Trindade / Gl 4,6;Sim
PRESENÇA DIVINA;Comunidade Católica Shalom;Comunidade Católica Shalom;;ADORACAO;Adoração;https://www.cifraclub.com.br/comunidade-catolica-shalom/presenca-divina/;https://www.cifraclub.com.br/comunidade-catolica-shalom/presenca-divina/;https://www.youtube.com/results?search_query=Comunidade+Cat%C3%B3lica+Shalom+PRESEN%C3%87A+DIVINA;Adoração / presença de Deus;Sim
PRESENÇA REAL;Marcos da Matta;Marcos da Matta;;COMUNHAO;Comunhão;;;https://www.youtube.com/watch?v=1TK8xeljCFw;Comunhão / presença real de Cristo na Eucaristia;Sim
PÃO E VINHO, PAI POREMOS;Ir. Míria T. Kolling;Ir. Míria T. Kolling;;OFERTORIO;Apresentação das Oferendas;https://www.cifraclub.com.br/irma-miria-t-kolling/pao-e-vinho-pai-poremos/;https://www.cifraclub.com.br/irma-miria-t-kolling/pao-e-vinho-pai-poremos/;https://www.youtube.com/watch?v=5-l_LHdj9cY;Apresentação das oferendas / Pentecostes;Sim
PÃO EM TODAS AS MESAS;CNBB / Música Litúrgica;CNBB / Música Litúrgica;;FINAL;Final;https://www.cifraclub.com.br/cnbb/pao-em-todas-as-mesas/;https://www.cifraclub.com.br/cnbb/pao-em-todas-as-mesas/;https://www.youtube.com/watch?v=Fz5WoxIDK54;Louvor final / Corpus Christi;Sim
QUANDO A PLENITUDE DOS TEMPOS CHEGOU;;;;ENTRADA;Entrada;;;;Entrada / Natal;Sim
QUANDO EU FOR EXALTADO;"Missal Romano e Lecionário; música: Frei Wanderson Luiz Freitas, O.Carm.";Frei Wanderson Luiz Freitas, O.Carm.;;COMUNHAO;Comunhão;;;;Comunhão / Exaltação da Santa Cruz / Jo 12,32;Sim
QUANDO O ESPÍRITO DE DEUS SOPROU;Zé Vicente;Zé Vicente;;FINAL;Final;https://www.cifraclub.com.br/ze-vicente/quando-o-espirito-de-deus-soprou/;https://www.cifraclub.com.br/ze-vicente/quando-o-espirito-de-deus-soprou/;https://www.youtube.com/watch?v=Iq9v14IztBI;Canto final / Pentecostes / envio no Espírito;Sim
QUE MARAVILHA, SENHOR, ESTAR AQUI;CNBB / Música Litúrgica;CNBB / Música Litúrgica;;OFERTORIO;Apresentação das Oferendas;https://www.cifraclub.com.br/cnbb/que-maravilha-senhor-estar-aqui/;https://www.cifraclub.com.br/cnbb/que-maravilha-senhor-estar-aqui/;;Apresentação das oferendas / Missa do Crisma / oferta comunitária;Sim
QUEM COME MINHA CARNE;Paulo Neto;Paulo Neto;;COMUNHAO;Comunhão;;;https://www.youtube.com/watch?v=bTObIitD9DU;Comunhão / Corpus Christi / discurso do Pão da Vida;Sim
QUEM HABITARÁ NA TUA CASA?;Jocy Rodrigues;Jocy Rodrigues;;OFERTORIO;Apresentação das Oferendas;;;;Apresentação das oferendas / Fiéis Defuntos;Sim
QUEM É ESTA QUE AVANÇA COMO A AURORA;Repertório católico;Vida Reluz;;MARIANA;Mariana;https://www.cifraclub.com.br/vida-reluz/quem-e-esta-que-avanca-como-a-aurora/;https://www.cifraclub.com.br/vida-reluz/quem-e-esta-que-avanca-como-a-aurora/;https://www.youtube.com/results?search_query=Vida+Reluz+QUEM+%C3%89+ESTA+QUE+AVAN%C3%87A+COMO+A+AURORA;Mariana / Imaculada / devoção;Sim
QUERO LEVAR ESTA BÍBLIA;;;;ENTRADA;Entrada;;;;Entrada / Palavra e missão;Sim
RECEBE, DEUS AMIGO;"Juracy B. A. Junior; música: Juliano Lima Lucas";CNBB / Música Litúrgica;;OFERTORIO;Apresentação das Oferendas;https://www.cifraclub.com.br/cnbb/recebe-deus-amigo/;https://www.cifraclub.com.br/cnbb/recebe-deus-amigo/;;Apresentação das oferendas / Quaresma;Sim
RECEBEMOS, Ó DEUS;;;;ENTRADA;Entrada;;;;Entrada / misericórdia;Sim
RETORNA, ISRAEL;Frei Telles Ramon, O. de M.;Frei Telles Ramon, O. de M.;;OFERTORIO;Apresentação das Oferendas;;;;Apresentação das oferendas / Quaresma;Sim
SANTA MANIFESTAÇÃO;;;;ENTRADA;Entrada;;;;Entrada / Epifania;Sim
SANTA MARIA DO CAMINHO;Juan Antonio Espinosa;Músicas Católicas;;MARIANA;Mariana;https://www.cifraclub.com.br/catolicas/santa-maria-do-caminho/;https://www.cifraclub.com.br/catolicas/santa-maria-do-caminho/;https://www.youtube.com/results?search_query=M%C3%BAsicas+Cat%C3%B3licas+SANTA+MARIA+DO+CAMINHO;Mariana / caminhada e missão;Sim
SANTA MÃE DE DEUS;;;;ENTRADA;Entrada;;;;Entrada / Santa Maria, Mãe de Deus;Sim
SANTA MÃE MARIA;Anjos de Resgate;Anjos de Resgate;;MARIANA;Mariana;https://www.cifraclub.com.br/anjos-de-resgate/santa-mae-maria/;https://www.cifraclub.com.br/anjos-de-resgate/santa-mae-maria/;https://www.youtube.com/results?search_query=Anjos+de+Resgate+SANTA+M%C3%83E+MARIA;Mariana / maternidade de Maria;Sim
SANTO ESPÍRITO;Frei Gilson;Frei Gilson;;ESPIRITO_SANTO;Espírito Santo;https://www.cifraclub.com.br/frei-gilson/santo-espirito/;https://www.cifraclub.com.br/frei-gilson/santo-espirito/;https://www.youtube.com/results?search_query=Frei+Gilson+SANTO+ESP%C3%8DRITO;Invocação ao Espírito Santo;Sim
SANTO MODELO DE LAR;;;;ENTRADA;Entrada;;;;Entrada / Sagrada Família;Sim
SEDE DE DEUS;José Raimundo Galvão;José Raimundo Galvão;;COMUNHAO;Comunhão;;;https://www.youtube.com/watch?v=1OS-NC4SzYg;Comunhão / desejo de Deus;Sim
SENHOR PIEDADE;Padre Marcelo Rossi;Padre Marcelo Rossi;;ATO_PENITENCIAL;Ato Penitencial;https://www.cifraclub.com.br/padre-marcelo-rossi/senhor-piedade/;https://www.cifraclub.com.br/padre-marcelo-rossi/senhor-piedade/;;Ato penitencial / perdão;Sim
