titulo,autor,interprete,tom,letra,cifra,link_referencia,observacao
CHUVA DE BENÇÃOS,Ministério Amor e Adoração,Ministério Amor e Adoração,"",https://www.cifraclub.com.br/ministerio-amor-e-adoracao/chuva-de-bencaos/,https://www.cifraclub.com.br/ministerio-amor-e-adoracao/chuva-de-bencaos/,https://www.youtube.com/results?search_query=Ministério+Amor+e+Adoração+Chuva+de+Bençãos,Pós-comunhão / oração / ação de graças
CHUVA DE BÊNÇÃOS,MINISTÉRIO AMOR E ADORAÇÃO,MINISTÉRIO AMOR E ADORAÇÃO,"",https://www.cifraclub.com.br/ministerio-amor-e-adoracao/chuva-de-bencaos/,https://www.cifraclub.com.br/ministerio-amor-e-adoracao/chuva-de-bencaos/,https://www.youtube.com/results?search_query=Minist%C3%A9rio+Amor+e+Adora%C3%A7%C3%A3o+CHUVA+DE+B%C3%8AN%C3%87%C3%83OS,Louvor / bênção
COLO DE MÃE,Frei Gilson,Frei Gilson,D,https://www.letras.mus.br/frei-gilson/3149676/,https://www.cifraclub.com.br/frei-gilson/colo-de-mae/,"",Mariana
COM ALEGRIA CANTAR,"","","","","","",Entrada / alegria da assembleia
COM ALEGRIA E GRATIDÃO,Ricardo Sabino,Ricardo Sabino,"","","","",Entrada / ação de graças
COM GRANDE ALEGRIA,Ir. Míria T. Kolling,Ir. Míria T. Kolling,"","","","",Entrada / alegria
COM MINHA MÃE ESTAREI,Repertório católico tradicional,Músicas Católicas,"","","",https://www.youtube.com/results?search_query=M%C3%BAsicas+Cat%C3%B3licas+COM+MINHA+M%C3%83E+ESTAREI,Mariana / devoção filial
COM PEDRO E COM PAULO,"","","","","","",Entrada / São Pedro e São Paulo
COM TUA MÃO,Davidson Silva,Davidson Silva,"",https://www.cifraclub.com.br/davidson-silva/com-tua-mao/,https://www.cifraclub.com.br/davidson-silva/com-tua-mao/,https://www.youtube.com/results?search_query=Davidson+Silva+Com+Tua+Mão,Pós-comunhão / oração / ação de graças
COMAM DO PÃO,Jacques Berthier,Jacques Berthier,"","","","",Comunhão / Salmo 18 / Eucaristia
COMO IREI RETRIBUIR AO MEU SENHOR,CNBB / Música Litúrgica,CNBB / Música Litúrgica,"","","","",Apresentação das oferendas / Missa do Crisma / Salmo 115
COMO SÃO BELOS,Padre Zezinho,Padre Zezinho,"","","","",Entrada / missão e anúncio
COMO TU NÃO HÁ,Davidson Silva,Davidson Silva,"",https://www.cifraclub.com.br/davidson-silva/como-tu-nao-ha/,https://www.cifraclub.com.br/davidson-silva/como-tu-nao-ha/,https://www.youtube.com/results?search_query=Davidson+Silva+Como+Tu+Não+Há,Pós-comunhão / oração / ação de graças
"COMO TU, MARIA",Izaías Luciano,Comunidade Católica Shalom,D,https://www.cifraclub.com.br/comunidade-catolica-shalom/como-tu-maria/,https://www.cifraclub.com.br/comunidade-catolica-shalom/como-tu-maria/,https://www.youtube.com/results?search_query=Comunidade+Cat%C3%B3lica+Shalom+COMO+TU%2C+MARIA,Mariana / Magnificat / disponibilidade e missão
COMO É BOM SENTIR,Padre Fábio de Melo,Padre Fábio de Melo,"",https://www.cifraclub.com.br/pe-fabio-de-melo/como-e-bom-sentir/,https://www.cifraclub.com.br/pe-fabio-de-melo/como-e-bom-sentir/,https://www.youtube.com/results?search_query=Padre+Fábio+de+Melo+Como+É+Bom+Sentir,Pós-comunhão / oração / ação de graças
COMO ÉS LINDO,Walmir Alencar; Fabio De Melo,Vida Reluz,D,https://www.cifraclub.com.br/vida-reluz/como-es-lindo/,https://www.cifraclub.com.br/vida-reluz/como-es-lindo/,"",Comunhão / mesa e presença eucarística
COMPROMISSO,Canção Nova,Canção Nova,"",https://www.cifraclub.com.br/cancao-nova/compromisso/,https://www.cifraclub.com.br/cancao-nova/compromisso/,https://www.youtube.com/results?search_query=Canção+Nova+Compromisso,Pós-comunhão / oração / ação de graças
CONFESSO A DEUS,Comunidade Recado,Comunidade Recado,"","","","",Ato penitencial / perdão
CONFESSO A DEUS - ATO PENITENCIAL,Músicas Católicas,Músicas Católicas,A,https://www.cifraclub.com.br/catolicas/confesso-a-deus-ato-penitencial/,https://www.cifraclub.com.br/catolicas/confesso-a-deus-ato-penitencial/,"",Ato penitencial / Confiteor
"CONFIA, MINH'ALMA, NO SENHOR",Pe. Joseph Gelineau,Pe. Joseph Gelineau,"","","","",Apresentação das oferendas / Fiéis Defuntos / Salmo 129
CONFIO EM TI,Davidson Silva,Davidson Silva,"",https://www.cifraclub.com.br/davidson-silva/confio-em-ti/,https://www.cifraclub.com.br/davidson-silva/confio-em-ti/,https://www.youtube.com/results?search_query=Davidson+Silva+Confio+em+Ti,Pós-comunhão / oração / ação de graças
"CONFIRMAI, Ó DEUS",Frei Wanderson Freitas,CNBB / Música Litúrgica,"","","",https://www.youtube.com/watch?v=TEeY0Zuytc0,Apresentação das oferendas / Pentecostes
CONSAGRAÇÃO A NOSSA SENHORA,Repertório católico tradicional,Frei Gilson,"","","",https://www.youtube.com/results?search_query=Frei+Gilson+CONSAGRA%C3%87%C3%83O+A+NOSSA+SENHORA,Mariana / consagração
CONTEMPLAREI JUSTIFICADO,"","","","","","",Entrada / antífona
CONVOSCO ESTAREI TODOS OS DIAS,"Pe. José Weber, SVD","Pe. José Weber, SVD","","","","",Comunhão / Ascensão do Senhor
CORAÇÃO CONTRITO,Flavinho,Flavinho,"","","","",Ato penitencial / reconciliação
CORAÇÃO DE MÃE,Davidson Silva,Davidson Silva,"",https://www.cifraclub.com.br/davidson-silva/coracao-de-mae/,https://www.cifraclub.com.br/davidson-silva/coracao-de-mae/,https://www.youtube.com/results?search_query=Davidson+Silva+Coração+de+Mãe,Mariana
CORAÇÕES ABRASADOS,Comunidade Católica Shalom,Comunidade Católica Shalom,"",https://www.cifraclub.com.br/comunidade-catolica-shalom/coracoes-abrasados/,https://www.cifraclub.com.br/comunidade-catolica-shalom/coracoes-abrasados/,https://www.youtube.com/results?search_query=Comunidade+Católica+Shalom+Corações+Abrasados,Pós-comunhão / oração / ação de graças
CORDEIRO,Frei Gilson,Frei Gilson,F,https://www.cifraclub.com.br/ministerio-amor-e-adoracao/cordeiro/,https://www.cifraclub.com.br/frei-gilson/cordeiro/,"",Fração do pão
CORDEIRO,Ministério Amor e Adoração,Ministério Amor e Adoração,A,https://www.cifraclub.com.br/ministerio-amor-e-adoracao/cordeiro/,https://www.cifraclub.com.br/ministerio-amor-e-adoracao/cordeiro/,"",Fração do pão
CORDEIRO DE DEUS,Ministério Amor e Adoração,Ministério Amor e Adoração,G,https://www.cifraclub.com.br/ministerio-amor-e-adoracao/cordeiro-de-deus/,https://www.cifraclub.com.br/ministerio-amor-e-adoracao/cordeiro-de-deus/,"",Fração do pão - Cordeiro de Deus
CORDEIRO DE DEUS - REPETE,Thiago Garcia,Músicas Católicas,E,https://www.cifraclub.com.br/catolicas/cordeiro-de-deus/cordeiro-repete.html,https://www.cifraclub.com.br/catolicas/cordeiro-de-deus/cordeiro-repete.html,"",Cordeiro de Deus da Missa; versão responsorial/repetida.
CORDEIRO DE DEUS - VERSÃO EM C,Marcelo Oliveira; Thiago Garcia; Missal Romano; Músicas Católicas,Músicas Católicas,C,https://www.cifraclub.com.br/catolicas/cordeiro-de-deus-7/,https://www.cifraclub.com.br/catolicas/cordeiro-de-deus-7/,"",Cordeiro de Deus da Missa; versão em C preservando a fórmula litúrgica.
CORDEIRO DE DEUS - VERSÃO EM C (THIAGO GARCIA),Thiago Garcia; Missal Romano,Músicas Católicas,C,https://www.cifraclub.com.br/catolicas/cordeiro-de-deus-9/,https://www.cifraclub.com.br/catolicas/cordeiro-de-deus-9/,"",Cordeiro de Deus da Missa; texto do Missal Romano.
CORDEIRO DE DEUS - VERSÃO EM G,Músicas Católicas,Católicas,G,https://www.cifraclub.com.br/catolicas-2/cordeiro-de-deus/,https://www.cifraclub.com.br/catolicas-2/cordeiro-de-deus/,"",Cordeiro de Deus da Missa; duas invocações de piedade e conclusão com Dai-nos a paz.
CORDEIRO DE DEUS CLÁSSICO,Músicas Católicas,Músicas Católicas,G,https://www.cifraclub.com.br/catolicas/cordeiro-de-deus-classico/,https://www.cifraclub.com.br/catolicas/cordeiro-de-deus-classico/,"",Cordeiro de Deus da Missa; versão tradicional em G.
CORDEIRO DE DEUS I,Músicas Católicas,Músicas Católicas,Dm,https://www.cifraclub.com.br/catolicas/cordeiro-de-deus-i/,https://www.cifraclub.com.br/catolicas/cordeiro-de-deus-i/,"",Cordeiro de Deus da Missa; fórmula concisa com duas invocações de piedade e uma de paz.
COROAÇÃO DE NOSSA SENHORA,Adriana Arydes,Adriana Arydes,"",https://www.cifraclub.com.br/adriana/coroacao-de-nossa-senhora/,https://www.cifraclub.com.br/adriana/coroacao-de-nossa-senhora/,"",Coroação / devoção mariana
"CRISTO RESSUSCITOU, ALELUIA",Ministério Amor e Adoração,Ministério Amor e Adoração,"",https://www.cifraclub.com.br/ministerio-amor-e-adoracao/cristo-ressuscitou-aleluia/,https://www.cifraclub.com.br/ministerio-amor-e-adoracao/cristo-ressuscitou-aleluia/,"https://www.youtube.com/results?search_query=Ministério+Amor+e+Adoração+Cristo+Ressuscitou,+Aleluia",Aclamação / Palavra
"CRISTO, PÃO DOS POBRES",Pe. José Freitas Campos,Pe. José Freitas Campos,"","","",https://www.youtube.com/watch?v=xfCTs4rXrFU,Entrada / Corpus Christi
CUIDA DE MIM,Davidson Silva,Davidson Silva,"",https://www.cifraclub.com.br/davidson-silva/cuida-de-mim/,https://www.cifraclub.com.br/davidson-silva/cuida-de-mim/,https://www.youtube.com/results?search_query=Davidson+Silva+Cuida+de+Mim,Pós-comunhão / oração / ação de graças
CUIDAS DE MIM,Padre Fábio de Melo,Padre Fábio de Melo,"",https://www.cifraclub.com.br/pe-fabio-de-melo/cuidas-de-mim/,https://www.cifraclub.com.br/pe-fabio-de-melo/cuidas-de-mim/,https://www.youtube.com/results?search_query=Padre+Fábio+de+Melo+Cuidas+De+Mim,Pós-comunhão / oração / ação de graças
CÍRIO OUTRA VEZ,Padre Fábio de Melo,Padre Fábio de Melo,"",https://www.cifraclub.com.br/pe-fabio-de-melo/cirio-outra-vez/,https://www.cifraclub.com.br/pe-fabio-de-melo/cirio-outra-vez/,https://www.youtube.com/results?search_query=Padre+Fábio+de+Melo+Círio+Outra+Vez,Mariana
"DAI-NOS A BÊNÇÃO, Ó MÃE QUERIDA",Repertório católico tradicional,Músicas Católicas,"","","",https://www.youtube.com/results?search_query=M%C3%BAsicas+Cat%C3%B3licas+DAI-NOS+A+B%C3%8AN%C3%87%C3%83O%2C+%C3%93+M%C3%83E+QUERIDA,Mariana / bênção e devoção
DAI-NOS A PAZ,Comunidade Católica Shalom,Comunidade Católica Shalom,F#m,https://www.cifraclub.com.br/comunidade-catolica-shalom/dai-nos-a-paz/,https://www.cifraclub.com.br/comunidade-catolica-shalom/dai-nos-a-paz/,https://www.youtube.com/results?search_query=Comunidade+Católica+Shalom+Dai-nos+a+Paz,Pós-comunhão / oração / ação de graças
DE MÃOS ESTENDIDAS,Irmã Salete,Músicas Católicas,Ebm,https://www.cifraclub.com.br/catolicas/de-maos-estendida/,https://www.cifraclub.com.br/catolicas/de-maos-estendida/,https://www.youtube.com/watch?v=z8v0Au78g-4,"Apresentação das oferendas / Criação, pão, vinho e vida"
DE PAZ SÃO MEUS PENSAMENTOS,"","","","","","",Entrada / antífona
DE TI PRECISO,Gilson da Silva Pupo Azevedo,Frei Gilson,F,https://www.letras.mus.br/frei-gilson/3448547/,https://www.cifraclub.com.br/frei-gilson/de-ti-preciso/,"",Adoração / oração
DE TODOS CANTOS VIEMOS,"","","","","","",Entrada / assembleia
DEIXA DEUS SONHAR EM TI,Frei Gilson,Frei Gilson,Bm,https://www.letras.mus.br/frei-gilson/3702207/,https://www.cifraclub.com.br/frei-gilson/deixa-deus-sonhar-em-ti/,"",Reflexão / pós-comunhão
DERRAMA SOBRE NÓS,Canção Nova,Canção Nova,"",https://www.cifraclub.com.br/cancao-nova/derrama-sobre-nos/,https://www.cifraclub.com.br/cancao-nova/derrama-sobre-nos/,https://www.youtube.com/results?search_query=Canção+Nova+Derrama+Sobre+Nós,Pós-comunhão / oração / ação de graças
DESPERTA,Davidson Silva,Davidson Silva,"",https://www.cifraclub.com.br/davidson-silva/desperta/,https://www.cifraclub.com.br/davidson-silva/desperta/,https://www.youtube.com/results?search_query=Davidson+Silva+Desperta,Pós-comunhão / oração / ação de graças
DEUS DE AMOR,Pe. Josmar Braga; música: José Alves,CNBB / Música Litúrgica,"","","",https://www.youtube.com/watch?v=cwhkYfcVsW4,Louvor final / Corpus Christi / adoração
DEUS DE AMOR NÓS TE ADORAMOS,CNBB / Música Litúrgica,CNBB / Música Litúrgica,"","","",https://www.youtube.com/watch?v=hWusDIVCD4Y,Louvor final / Corpus Christi / adoração
DEUS ENVIOU AOS NOSSOS CORAÇÕES,Paulo Neto,Paulo Neto,"","","",https://www.youtube.com/watch?v=AyYzfppRLpY,Comunhão / Santíssima Trindade
DEUS ESTÁ NO CONTROLE,Adriana Arydes,Adriana Arydes,"",https://www.cifraclub.com.br/adriana/deus-esta-no-controle/,https://www.cifraclub.com.br/adriana/deus-esta-no-controle/,https://www.youtube.com/results?search_query=Adriana+Arydes+Deus+Está+no+Controle,Pós-comunhão / oração / ação de graças
DEUS EXISTE,Canção Nova,Canção Nova,"",https://www.cifraclub.com.br/cancao-nova/deus-existe/,https://www.cifraclub.com.br/cancao-nova/deus-existe/,https://www.youtube.com/results?search_query=Canção+Nova+Deus+Existe,Pós-comunhão / oração / ação de graças
DEUS HABITA,Canção Nova,Canção Nova,"",https://www.cifraclub.com.br/cancao-nova/deus-habita/,https://www.cifraclub.com.br/cancao-nova/deus-habita/,https://www.youtube.com/results?search_query=Canção+Nova+Deus+Habita,Pós-comunhão / oração / ação de graças
DEUS INFINITO,CNBB / Música Litúrgica,CNBB / Música Litúrgica,"","","",https://www.youtube.com/watch?v=z6Ta9Ca3haw,Louvor final / Corpus Christi
DEUS É FIEL,Ministério Amor e Adoração,Ministério Amor e Adoração,"",https://www.cifraclub.com.br/ministerio-amor-e-adoracao/deus-e-fiel/,https://www.cifraclub.com.br/ministerio-amor-e-adoracao/deus-e-fiel/,https://www.youtube.com/results?search_query=Ministério+Amor+e+Adoração+Deus+É+Fiel,Pós-comunhão / oração / ação de graças
DIA DE CELEBRAR,Canção Nova,Canção Nova,"",https://www.cifraclub.com.br/cancao-nova/dia-de-celebrar/,https://www.cifraclub.com.br/cancao-nova/dia-de-celebrar/,https://www.youtube.com/results?search_query=Canção+Nova+Dia+de+Celebrar,Entrada / acolhida da assembleia
DIA DE FESTA,Canção Nova,Canção Nova,"",https://www.cifraclub.com.br/cancao-nova/dia-de-festa/,https://www.cifraclub.com.br/cancao-nova/dia-de-festa/,https://www.youtube.com/results?search_query=Canção+Nova+Dia+de+Festa,Entrada / acolhida da assembleia
DIANTE DE TI,Davidson Silva,Davidson Silva,"",https://www.cifraclub.com.br/davidson-silva/diante-de-ti/,https://www.cifraclub.com.br/davidson-silva/diante-de-ti/,https://www.youtube.com/results?search_query=Davidson+Silva+Diante+de+Ti,Pós-comunhão / oração / ação de graças
DIANTE DO REI,Padre Fábio de Melo,Padre Fábio de Melo,"",https://www.cifraclub.com.br/pe-fabio-de-melo/diante-do-rei/,https://www.cifraclub.com.br/pe-fabio-de-melo/diante-do-rei/,https://www.youtube.com/results?search_query=Padre+Fábio+de+Melo+Diante+do+Rei,Adoração
DIANTE DO TEU ALTAR,Canção Nova,Canção Nova,"",https://www.cifraclub.com.br/cancao-nova/diante-do-teu-altar/,https://www.cifraclub.com.br/cancao-nova/diante-do-teu-altar/,https://www.youtube.com/results?search_query=Canção+Nova+Diante+Do+Teu+Altar,Apresentação das oferendas
DIGNO,Davidson Silva,Davidson Silva,"",https://www.cifraclub.com.br/davidson-silva/digno/,https://www.cifraclub.com.br/davidson-silva/digno/,https://www.youtube.com/results?search_query=Davidson+Silva+Digno,Pós-comunhão / oração / ação de graças
DIVINO CORAÇÃO,Comunidade Católica Shalom,Comunidade Católica Shalom,Bb,https://www.cifraclub.com.br/comunidade-catolica-shalom/divino-coracao/,https://www.cifraclub.com.br/comunidade-catolica-shalom/divino-coracao/,https://www.youtube.com/results?search_query=Comunidade+Católica+Shalom+Divino+Coração,Pós-comunhão / oração / ação de graças
DIVINO ESPOSO,Ministério Missionário Shalom,Ministério Missionário Shalom,A,https://www.cifraclub.com.br/missionario-shalom/divino-esposo/,https://www.cifraclub.com.br/missionario-shalom/divino-esposo/,https://www.youtube.com/results?search_query=Ministério+Missionário+Shalom+Divino+Esposo,Pós-comunhão / oração / ação de graças
DIÁRIO DE MARIA,Adriana Arydes,Adriana Arydes,"",https://www.cifraclub.com.br/adriana/diario-de-maria/,https://www.cifraclub.com.br/adriana/diario-de-maria/,"",Mariana
DO CÉU DESCEU A CHUVA,D. Marcos Barbosa; Maximiliano Hellmann,CNBB / Música Litúrgica,"","","",https://www.youtube.com/watch?v=RBy06HNc7uY,Comunhão / alimento vindo do céu
DO SEU POVO ELE É A FORÇA,"","","","","","",Entrada / confiança no Senhor
DOCE JESUS,Adriana Arydes,Adriana Arydes,"",https://www.cifraclub.com.br/adriana/doce-jesus/,https://www.cifraclub.com.br/adriana/doce-jesus/,https://www.youtube.com/results?search_query=Adriana+Arydes+Doce+Jesus,Pós-comunhão / oração / ação de graças
DOCE MÃE,Comunidade Católica Shalom,Comunidade Católica Shalom,"",https://www.cifraclub.com.br/comunidade-catolica-shalom/doce-mae/,https://www.cifraclub.com.br/comunidade-catolica-shalom/doce-mae/,https://www.youtube.com/results?search_query=Comunidade+Católica+Shalom+Doce+Mãe,Mariana
DOCE PRESENÇA,Comunidade Católica Shalom,Comunidade Católica Shalom,"","","",https://www.youtube.com/results?search_query=Comunidade+Cat%C3%B3lica+Shalom+DOCE+PRESEN%C3%87A,Adoração / presença de Deus
DOIS ABISMOS,Comunidade Católica Shalom,Comunidade Católica Shalom,"",https://www.cifraclub.com.br/comunidade-catolica-shalom/dois-abismos/,https://www.cifraclub.com.br/comunidade-catolica-shalom/dois-abismos/,https://www.youtube.com/results?search_query=Comunidade+Católica+Shalom+Dois+Abismos,Pós-comunhão / oração / ação de graças
DONS,Ministério Amor e Adoração,Ministério Amor e Adoração,"",https://www.cifraclub.com.br/ministerio-amor-e-adoracao/dons/,https://www.cifraclub.com.br/ministerio-amor-e-adoracao/dons/,https://www.youtube.com/results?search_query=Ministério+Amor+e+Adoração+Dons,Pós-comunhão / oração / ação de graças
"EIS A PROCISSÃO DO REI, NOSSO DEUS",Reginaldo Veloso,CNBB / Música Litúrgica,"","","",https://www.youtube.com/watch?v=g_ijkjxh0HA,Apresentação das oferendas / Pentecostes / Ascensão
"EIS JESUS, O PÃO DA VIDA",Prof. Saraiva,CNBB / Música Litúrgica,"","","","","Comunhão / Jesus, Pão da Vida"
EIS ME AQUI,Ministério Missionário Shalom,Ministério Missionário Shalom,"",https://www.cifraclub.com.br/missionario-shalom/eis-me-aqui/,https://www.cifraclub.com.br/missionario-shalom/eis-me-aqui/,https://www.youtube.com/results?search_query=Ministério+Missionário+Shalom+Eis+Me+Aqui,Pós-comunhão / oração / ação de graças
EIS OS PENSAMENTOS DO SEU CORAÇÃO,"","","","","","",Entrada / Sagrado Coração
ELE CUMPRIRÁ,Ministério Amor e Adoração,Ministério Amor e Adoração,"",https://www.cifraclub.com.br/ministerio-amor-e-adoracao/ele-cumprira/,https://www.cifraclub.com.br/ministerio-amor-e-adoracao/ele-cumprira/,https://www.youtube.com/results?search_query=Ministério+Amor+e+Adoração+Ele+Cumprirá,Pós-comunhão / oração / ação de graças
ELE VENCEU,Comunidade Católica Shalom,Comunidade Católica Shalom,"",https://www.cifraclub.com.br/comunidade-catolica-shalom/ele-venceu/,https://www.cifraclub.com.br/comunidade-catolica-shalom/ele-venceu/,https://www.youtube.com/results?search_query=Comunidade+Católica+Shalom+Ele+Venceu,Pós-comunhão / oração / ação de graças
EM ADORAÇÃO,Betho Wilson; Guttemberg Junior,Comunidade Católica Shalom,"",https://www.cifraclub.com.br/comunidade-catolica-shalom/1270122/,https://www.cifraclub.com.br/comunidade-catolica-shalom/1270122/,https://www.youtube.com/results?search_query=Comunidade+Cat%C3%B3lica+Shalom+EM+ADORA%C3%87%C3%83O,Pós-comunhão / adoração e gratidão
EM MEMÓRIA DE MIM,Cardeal Odilo Scherer,Cardeal Odilo Scherer,"","","",https://www.youtube.com/watch?v=K0v5Nv11QI8,Comunhão / memória eucarística
EM ORAÇÃO,Ministério Amor e Adoração,Ministério Amor e Adoração,"",https://www.cifraclub.com.br/ministerio-amor-e-adoracao/em-oracao/,https://www.cifraclub.com.br/ministerio-amor-e-adoracao/em-oracao/,https://www.youtube.com/results?search_query=Ministério+Amor+e+Adoração+Em+Oração,Pós-comunhão / oração / ação de graças
EM TEU ABRAÇO,Comunidade Católica Shalom,Comunidade Católica Shalom,"",https://www.cifraclub.com.br/comunidade-catolica-shalom/em-teu-abraco/,https://www.cifraclub.com.br/comunidade-catolica-shalom/em-teu-abraco/,https://www.youtube.com/results?search_query=Comunidade+Católica+Shalom+Em+Teu+Abraço,Pós-comunhão / oração / ação de graças
EM TUA PRESENÇA,Padre Fábio de Melo,Padre Fábio de Melo,"",https://www.cifraclub.com.br/pe-fabio-de-melo/em-tua-presenca/,https://www.cifraclub.com.br/pe-fabio-de-melo/em-tua-presenca/,https://www.youtube.com/results?search_query=Padre+Fábio+de+Melo+Em+Tua+Presença,Adoração
ENTRE NÓS,Ministério Amor e Adoração,Ministério Amor e Adoração,F,https://www.cifraclub.com.br/ministerio-amor-e-adoracao/entre-nos/,https://www.cifraclub.com.br/ministerio-amor-e-adoracao/entre-nos/,"",Comunhão / presença de Cristo
ENTREMOS NA CASA DO SENHOR,José Acácio,José Acácio,"","","",https://www.youtube.com/watch?v=mLw6i8Bn4uk,Entrada / Santíssima Trindade
"ENVIA, SENHOR, OPERÁRIOS PARA A MESSE",Carlos Bueno; Breno Stanley,Músicas Católicas,G,https://www.cifraclub.com.br/catolicas/envia-senhor-operarios-para-messe/,https://www.cifraclub.com.br/catolicas/envia-senhor-operarios-para-messe/,https://www.youtube.com/results?search_query=M%C3%BAsicas+Cat%C3%B3licas+ENVIA%2C+SENHOR%2C+OPER%C3%81RIOS+PARA+A+MESSE,Canto final / envio e missão
ENVIAI O VOSSO ESPÍRITO,Comunidade Católica Shalom,Comunidade Católica Shalom,"",https://www.cifraclub.com.br/comunidade-catolica-shalom/enviai-o-vosso-espirito/,https://www.cifraclub.com.br/comunidade-catolica-shalom/enviai-o-vosso-espirito/,https://www.youtube.com/results?search_query=Comunidade+Católica+Shalom+Enviai+o+Vosso+Espírito,Invocação ao Espírito Santo
"ENVIAI O VOSSO ESPÍRITO, SENHOR","Frei Joel Postma, OFM",CNBB / Música Litúrgica,"","","",https://www.youtube.com/watch?v=JeHCABENzq4,Pentecostes / Salmo 103(104)
"ENVIAI, SENHOR!",Madre Tarcísia; música: José Alves,José Alves,"","","",https://www.youtube.com/results?search_query=Jos%C3%A9+Alves+ENVIAI%2C+SENHOR%21,Canto final / Pentecostes / envio
ESCOLHIDA DE DEUS PAI,Ministério Amor e Adoração,Ministério Amor e Adoração,"",https://www.cifraclub.com.br/ministerio-amor-e-adoracao/escolhida-de-deus-pai/,https://www.cifraclub.com.br/ministerio-amor-e-adoracao/escolhida-de-deus-pai/,https://www.youtube.com/results?search_query=Ministério+Amor+e+Adoração+Escolhida+de+Deus+Pai,Mariana
"ESCUTA, SENHOR, A VOZ DO POVO TEU","Frei Telles Ramon, O. de M.; música: Wanderson Luiz Freitas, O.Carm.",CNBB / Música Litúrgica,"","","","",Apresentação das oferendas / Quaresma
ESPOSO RESSUSCITADO,Comunidade Católica Shalom,Comunidade Católica Shalom,"",https://www.cifraclub.com.br/comunidade-catolica-shalom/esposo-ressuscitado/,https://www.cifraclub.com.br/comunidade-catolica-shalom/esposo-ressuscitado/,https://www.youtube.com/results?search_query=Comunidade+Católica+Shalom+Esposo+Ressuscitado,Pós-comunhão / oração / ação de graças
ESPÍRITO CRIADOR,André Zamur,CNBB / Música Litúrgica,"","","",https://www.youtube.com/watch?v=nyLQaQQvtMk,Apresentação das oferendas / Pentecostes
ESPÍRITO DE DEUS,Repertório católico,Músicas Católicas,"","","",https://www.youtube.com/results?search_query=M%C3%BAsicas+Cat%C3%B3licas+ESP%C3%8DRITO+DE+DEUS,Invocação e presença do Espírito Santo
ESPÍRITO SANTO,Renato Borges Neto; Kito Moura,Comunidade Católica Shalom,E,https://www.cifraclub.com.br/comunidade-catolica-shalom/espirito-santo/,https://www.cifraclub.com.br/comunidade-catolica-shalom/espirito-santo/,https://www.youtube.com/results?search_query=Comunidade+Cat%C3%B3lica+Shalom+ESP%C3%8DRITO+SANTO,Invocação ao Espírito Santo / Pentecostes / renovação
ESPÍRITO SANTO DE DEUS,Repertório católico,Músicas Católicas,"","","",https://www.youtube.com/results?search_query=M%C3%BAsicas+Cat%C3%B3licas+ESP%C3%8DRITO+SANTO+DE+DEUS,Invocação ao Espírito Santo
"ESPÍRITO SANTO, VINDE",Repertório católico,Músicas Católicas,"","","",https://www.youtube.com/results?search_query=M%C3%BAsicas+Cat%C3%B3licas+ESP%C3%8DRITO+SANTO%2C+VINDE,Invocação ao Espírito Santo
"ESPÍRITO, ENCHE A MINHA VIDA",Repertório cristão,Músicas Católicas,"","","",https://www.youtube.com/results?search_query=M%C3%BAsicas+Cat%C3%B3licas+ESP%C3%8DRITO%2C+ENCHE+A+MINHA+VIDA,Oração ao Espírito Santo / renovação
ESTAR EM TUAS MÃOS,Comunidade Católica Shalom,Comunidade Católica Shalom,F#m,https://www.cifraclub.com.br/comunidade-catolica-shalom/estar-em-tuas-maos/,https://www.cifraclub.com.br/comunidade-catolica-shalom/estar-em-tuas-maos/,https://www.youtube.com/results?search_query=Comunidade+Católica+Shalom+Estar+Em+Tuas+Mãos,Pós-comunhão / oração / ação de graças
ESTAREMOS AQUI REUNIDOS,Ir. Míria T. Kolling; Pe. Lúcio Floro,CNBB / Música Litúrgica,"","","",https://www.youtube.com/watch?v=0FwVj_5oPAM,Pentecostes / assembleia reunida no Espírito
ESTE É O DIA,Comunidade Católica Shalom,Comunidade Católica Shalom,"",https://www.cifraclub.com.br/comunidade-catolica-shalom/este-e-o-dia/,https://www.cifraclub.com.br/comunidade-catolica-shalom/este-e-o-dia/,https://www.youtube.com/results?search_query=Comunidade+Católica+Shalom+Este+É+o+Dia,Pós-comunhão / oração / ação de graças
ESTRANGEIRO AQUI,Comunidade Católica Shalom,Comunidade Católica Shalom,"",https://www.cifraclub.com.br/comunidade-catolica-shalom/estrangeiro-aqui/,https://www.cifraclub.com.br/comunidade-catolica-shalom/estrangeiro-aqui/,https://www.youtube.com/results?search_query=Comunidade+Católica+Shalom+Estrangeiro+Aqui,Pós-comunhão / oração / ação de graças
ETERNA VIDA,Comunidade Católica Shalom,Comunidade Católica Shalom,"",https://www.cifraclub.com.br/comunidade-catolica-shalom/eterna-vida/,https://www.cifraclub.com.br/comunidade-catolica-shalom/eterna-vida/,https://www.youtube.com/results?search_query=Comunidade+Católica+Shalom+Eterna+Vida,Pós-comunhão / oração / ação de graças
ETERNO CÉU,Comunidade Católica Shalom,Comunidade Católica Shalom,"",https://www.cifraclub.com.br/comunidade-catolica-shalom/eterno-ceu/,https://www.cifraclub.com.br/comunidade-catolica-shalom/eterno-ceu/,https://www.youtube.com/results?search_query=Comunidade+Católica+Shalom+Eterno+Céu,Pós-comunhão / oração / ação de graças
